combinacion,prior,KL_bits,KL_nats
A1+B1+G1,demografico,0.8464196513170343,0.5866933948809343
A1+B1+G1,uniforme,0.9153637421904207,0.6344817970860908
A1+B1+G2,demografico,0.8464196513170343,0.5866933948809343
A1+B1+G2,uniforme,0.9153637421904202,0.6344817970860903
A1+B2+G1,demografico,0.9609890876120794,0.666106876627187
A1+B2+G1,uniforme,1.0433000501963194,0.7231604882716283
A1+B2+G2,demografico,0.9609890876120788,0.6661068766271867
A1+B2+G2,uniforme,1.043300050196319,0.7231604882716279
A2+B1+G1,demografico,0.8524979462845647,0.5909065479002896
A2+B1+G1,uniforme,0.9272121340662524,0.6426944765089928
A2+B1+G2,demografico,0.8524979462845647,0.5909065479002896
A2+B1+G2,uniforme,0.9272121340662518,0.6426944765089925
A2+B2+G1,demografico,0.9752852737203368,0.6760162377208859
A2+B2+G1,uniforme,1.070120488860345,0.7417509997129785
A2+B2+G2,demografico,0.9752852737203362,0.6760162377208856
A2+B2+G2,uniforme,1.0701204888603442,0.7417509997129779
