prior,combinacion,caso,dif_log10_LR_total,dif_posterior_completa,dif_posterior_sin_gen,ok_log10_LR_total,ok_posterior_completa,ok_posterior_sin_gen
demografica,A1+B1+G1,H0,0,2.155297945042074e-32,2.124862678055332e-5,TRUE,TRUE,TRUE
demografica,A1+B1+G1,C1,1.1102230246251565e-16,7.966174661990863e-32,2.3010092828436865e-4,TRUE,TRUE,TRUE
demografica,A1+B1+G1,C2,0,0,0.025958322853976035,TRUE,TRUE,FALSE
demografica,A1+B1+G1,C3,4.163336342344337e-17,1.3432553074609088e-32,7.025599094269023e-5,TRUE,TRUE,TRUE
demografica,A1+B1+G1,C4,1.7763568394002505e-15,3.966498686824305e-18,0.021381021701024017,TRUE,TRUE,FALSE
demografica,A1+B1+G1,C5,0,1.1862256377973343e-28,0.0042556956069443605,TRUE,TRUE,FALSE
demografica,A2+B1+G1,H0,0,2.894725019751021e-32,2.3442395803433902e-5,TRUE,TRUE,TRUE
demografica,A2+B1+G1,C1,0,1.7793026447239199e-31,4.963388449605202e-4,TRUE,TRUE,TRUE
demografica,A2+B1+G1,C2,0,0,0.02794753479499623,TRUE,TRUE,FALSE
demografica,A2+B1+G1,C3,5.551115123125783e-17,3.000257742914373e-32,1.5039101350585154e-4,TRUE,TRUE,TRUE
demografica,A2+B1+G1,C4,0,3.966498686824305e-18,0.019465655234144896,TRUE,TRUE,FALSE
demografica,A2+B1+G1,C5,0,2.200732748772805e-28,0.007811707306581447,TRUE,TRUE,FALSE
demografica,A1+B2+G1,H0,0,6.998537835722165e-32,4.335839111861456e-5,TRUE,TRUE,TRUE
demografica,A1+B2+G1,C1,0,2.1015988604041748e-31,5.267660274403617e-4,TRUE,TRUE,TRUE
demografica,A1+B2+G1,C2,3.552713678800501e-15,0,0.02848961711072384,TRUE,TRUE,FALSE
demografica,A1+B2+G1,C3,2.7755575615628914e-17,6.022247017647709e-32,2.6814399383619236e-4,TRUE,TRUE,TRUE
demografica,A1+B2+G1,C4,0,4.643092275974515e-18,0.018550972365361684,TRUE,TRUE,FALSE
demografica,A1+B2+G1,C5,0,2.782705882960861e-28,0.009090376332966891,TRUE,TRUE,FALSE
demografica,A2+B2+G1,H0,0,9.399555463476057e-32,4.840873654087148e-5,TRUE,TRUE,TRUE
demografica,A2+B2+G1,C1,0,4.694072838131028e-31,0.0010912180179894829,TRUE,TRUE,FALSE
demografica,A2+B2+G1,C2,3.552713678800501e-15,0,0.03234227120808414,TRUE,TRUE,FALSE
demografica,A2+B2+G1,C3,0,1.345112365764183e-31,5.875952244121476e-4,TRUE,TRUE,TRUE
demografica,A2+B2+G1,C4,0,4.643092275974477e-18,0.0141569280167273,TRUE,TRUE,FALSE
demografica,A2+B2+G1,C5,0,5.162586081182761e-28,0.016458121212414255,TRUE,TRUE,FALSE
demografica,A1+B1+G2,H0,0,5.734655253706333e-31,2.124862678055332e-5,TRUE,TRUE,TRUE
demografica,A1+B1+G2,C1,1.1102230246251565e-16,2.1195800553893437e-30,2.3010092828436865e-4,TRUE,TRUE,TRUE
demografica,A1+B1+G2,C2,0,0,0.025958322853976035,TRUE,TRUE,FALSE
demografica,A1+B1+G2,C3,2.7755575615628914e-17,4.933538994805061e-31,7.025599094269023e-5,TRUE,TRUE,TRUE
demografica,A1+B1+G2,C4,1.7763568394002505e-15,1.0553762455692558e-16,0.021381021701024017,TRUE,TRUE,FALSE
demografica,A1+B1+G2,C5,8.881784197001252e-16,4.5621263194836383e-26,0.0042556956069443605,TRUE,TRUE,FALSE
demografica,A2+B1+G2,H0,0,7.702067401278158e-31,2.3442395803433902e-5,TRUE,TRUE,TRUE
demografica,A2+B1+G2,C1,0,4.73423513578324e-30,4.963388449605202e-4,TRUE,TRUE,TRUE
demografica,A2+B1+G2,C2,0,0,0.02794753479499623,TRUE,TRUE,FALSE
demografica,A2+B1+G2,C3,0,1.1019415659047851e-30,1.5039101350585154e-4,TRUE,TRUE,TRUE
demografica,A2+B1+G2,C4,0,1.0553762455692558e-16,0.019465655234144896,TRUE,TRUE,FALSE
demografica,A2+B1+G2,C5,8.881784197001252e-16,8.463837296561042e-26,0.007811707306581447,TRUE,TRUE,FALSE
demografica,A1+B2+G2,H0,0,1.8621185001455967e-30,4.335839111861456e-5,TRUE,TRUE,TRUE
demografica,A1+B2+G2,C1,0,5.591776753521971e-30,5.267660274403617e-4,TRUE,TRUE,TRUE
demografica,A1+B2+G2,C2,0,2.220446049250313e-16,0.02848961711072384,TRUE,TRUE,FALSE
demografica,A1+B2+G2,C3,1.1102230246251565e-16,2.2118647388093686e-30,2.6814399383619236e-4,TRUE,TRUE,TRUE
demografica,A1+B2+G2,C4,0,1.2353991973643602e-16,0.018550972365361684,TRUE,TRUE,FALSE
demografica,A1+B2+G2,C5,8.881784197001252e-16,1.070205814436e-25,0.009090376332966891,TRUE,TRUE,FALSE
demografica,A2+B2+G2,H0,0,2.5009632772639805e-30,4.840873654087148e-5,TRUE,TRUE,TRUE
demografica,A2+B2+G2,C1,0,1.2489637232936271e-29,0.0010912180179894829,TRUE,TRUE,FALSE
demografica,A2+B2+G2,C2,3.552713678800501e-15,2.220446049250313e-16,0.03234227120808414,TRUE,TRUE,FALSE
demografica,A2+B2+G2,C3,1.1102230246251565e-16,4.940359641262917e-30,5.875952244121476e-4,TRUE,TRUE,TRUE
demografica,A2+B2+G2,C4,0,1.2353991973643703e-16,0.0141569280167273,TRUE,TRUE,FALSE
demografica,A2+B2+G2,C5,0,1.9854881809246366e-25,0.016458121212414255,TRUE,TRUE,FALSE
uniforme,A1+B1+G1,H0,0,2.3708277395462832e-32,2.833148410984394e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G1,C1,1.1102230246251565e-16,9.736435697988832e-32,1.071480802388846e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G1,C2,0,0,2.474711516486927e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G1,C3,4.163336342344337e-17,2.462634730345e-32,3.1541637138997e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G1,C4,1.7763568394002505e-15,4.363148555506774e-18,2.6857769968580136e-6,TRUE,TRUE,TRUE
uniforme,A1+B1+G1,C5,0,3.262120503942671e-28,2.446571907635531e-7,TRUE,TRUE,TRUE
uniforme,A2+B1+G1,H0,0,3.1841975217261257e-32,9.274076469400344e-7,TRUE,TRUE,TRUE
uniforme,A2+B1+G1,C1,0,2.1747032324403466e-31,3.3935440100418476e-6,TRUE,TRUE,TRUE
uniforme,A2+B1+G1,C2,0,0,4.822454904296336e-7,TRUE,TRUE,TRUE
uniforme,A2+B1+G1,C3,5.551115123125783e-17,5.500472528676351e-32,2.5316401447678214e-6,TRUE,TRUE,TRUE
uniforme,A2+B1+G1,C4,0,4.363148555506774e-18,1.2082725253659277e-7,TRUE,TRUE,TRUE
uniforme,A2+B1+G1,C5,0,6.052015059125217e-28,5.375689613364848e-7,TRUE,TRUE,TRUE
uniforme,A1+B2+G1,H0,0,7.698391619294387e-32,9.611652666207619e-7,TRUE,TRUE,TRUE
uniforme,A1+B2+G1,C1,0,2.56862082938288e-31,3.5741205143147853e-7,TRUE,TRUE,TRUE
uniforme,A1+B2+G1,C2,3.552713678800501e-15,0,4.849835031517369e-6,TRUE,TRUE,TRUE
uniforme,A1+B2+G1,C3,2.7755575615628914e-17,1.1040786199020804e-31,3.9254890888377894e-6,TRUE,TRUE,TRUE
