combinacion,prior,KL_bits,KL_nats
A1+B1+G1,demografica,0.8476002471664612,0.5875117215653454
A1+B1+G2,demografica,0.847600247166456,0.5875117215653417
A1+B2+G1,demografica,0.9613120581091581,0.6663307427166412
A1+B2+G2,demografica,0.9613120581091513,0.6663307427166366
A2+B1+G1,demografica,0.8536640181561883,0.5917148073304359
A2+B1+G2,demografica,0.8536640181561831,0.5917148073304322
A2+B2+G1,demografica,0.975560395676523,0.6762069377291264
A2+B2+G2,demografica,0.9755603956765162,0.6762069377291219
A1+B1+G1,uniforme,0.9166096727982825,0.6353454103741034
A1+B1+G2,uniforme,0.9166096727982762,0.6353454103740991
A1+B2+G1,uniforme,1.0436314919409566,0.7233902261824433
A1+B2+G2,uniforme,1.0436314919409493,0.7233902261824383
A2+B1+G1,uniforme,0.928428195693408,0.6435373861972428
A2+B1+G2,uniforme,0.9284281956934014,0.6435373861972383
A2+B2+G1,uniforme,1.070360052020756,0.7419170522421833
A2+B2+G2,uniforme,1.0703600520207486,0.7419170522421783
